ID,Flight Number,Origin Airport,Origin Code,Destination Airport,Destination Code,Departing Date,Departing Time,Duration,Distance,Time Zone Difference,Arrival Date,Arrival Time,Flight Type, Surcharge,Food Served,Route Cost,Miner Points,Total Seats,First Class Seats,Business Class Seats,Main Cabin Seats,First Class Price,Business Class Price,Main Cabin Price,First Class Seats Sold,Business Class Seats Sold,Main Cabin Seats Sold,Total First Class Revenue,Total Business Class Revenue,Total Main Cabin Revenue
1220,2351220,Abraham Gonzalez International Airport,CJS,Aeropuerto Internacional Benito Juarez,MEX,4/5/23,8:25 AM,142,957,1,4/5/23,11:47 AM,International,3,true,71871,2871,167,13,52,90,8449,3315,1077,1,0,11,4036.1,0.0,2984.8500000000004
1341,2301341,El Paso International Airport,ELP,Paris Charles de Gaulle Airport,CDG,4/6/23,12:10 PM,639,4662,8,4/7/23,6:49 AM,International,12,true,67763,13986,175,15,54,94,4576,3342,924,0,5,7,0.0,4238.15,1712.5
1340,2381340,El Paso International Airport,ELP,Paris Charles de Gaulle Airport,CDG,4/6/23,8:25 AM,639,4662,8,4/7/23,3:04 AM,International,12,true,67763,13986,145,12,43,81,4093,4028,1294,0,1,8,0.0,1033.25,2543.425
1217,2321217,Heathrow Airport,LHR,El Paso International Airport,ELP,4/5/23,8:25 AM,645,5148,-7,4/5/23,12:10 PM,International,13,true,72726,15444,150,13,41,90,12060,3001,1121,0,1,5,0.0,738.65,1463.15
1338,2361338,Toronto Pearson International Airport,YYZ,El Paso International Airport,ELP,4/6/23,12:10 PM,219,1449,-2,4/6/23,1:49 PM,International,4,true,64960,4347,143,11,45,87,8347,4879,1129,0,0,0,0.0,0.0,0.0
1216,2311216,Heathrow Airport,LHR,El Paso International Airport,ELP,4/5/23,5:30 AM,645,5148,-7,4/5/23,9:15 AM,International,13,true,72726,15444,163,10,41,91,9918,2982,1272,0,16,5,0.0,11784.7625,1651.9
1337,2351337,Toronto Pearson International Airport,YYZ,El Paso International Airport,ELP,4/6/23,8:25 AM,219,1449,-2,4/6/23,10:04 AM,International,4,true,64960,4347,140,11,43,84,7541,3816,1180,0,0,2,0.0,0.0,619.85
1336,2341336,Toronto Pearson International Airport,YYZ,El Paso International Airport,ELP,4/6/23,5:30 AM,219,1449,-2,4/6/23,7:09 AM,International,4,true,64960,4347,162,9,55,90,9075,3893,1166,1,0,7,4561.75,0.0,2000.6000000000001
1215,2301215,El Paso International Airport,ELP,Heathrow Airport,LHR,4/5/23,12:10 PM,645,5148,7,4/6/23,5:55 AM,International,13,true,66329,15444,152,9,49,82,10385,5546,825,0,6,6,0.0,8389.75,1325.9
1214,2381214,El Paso International Airport,ELP,Heathrow Airport,LHR,4/5/23,8:25 AM,645,5148,7,4/6/23,2:10 AM,International,13,true,66329,15444,178,12,63,98,8030,3541,1202,0,0,5,0.0,0.0,1488.0375000000001
1335,2331335,El Paso International Airport,ELP,Toronto Pearson International Airport,YYZ,4/6/23,12:10 PM,219,1449,2,4/6/23,5:49 PM,International,4,true,57452,4347,150,9,48,93,6777,3411,1155,0,0,0,0.0,0.0,0.0
1213,2371213,El Paso International Airport,ELP,Heathrow Airport,LHR,4/5/23,5:30 AM,645,5148,7,4/5/23,11:15 PM,International,13,true,66329,15444,147,13,48,79,7342,3571,775,0,1,6,0.0,874.025,1173.725
